,year,guns_total_per_1000,guns_total,guns_total_seas,handgun_share,longgun_share,missouri,maryland,new_jersey,district_of_columbia,mississippi,louisiana,alabama,texas,georgia,dc_handguns_per_100k_national_sales
0,2000.0,2.3014166666666664,655049.75,649631.7218436697,0.3147166666666667,0.6784,2.6980833333333334,0.6666666666666669,0.5293333333333333,0.0,2.3755,2.4834166666666664,3.1484166666666664,8.3255,3.0736666666666674,0.7333333333333333
0,2001.0,2.3145833333333337,667992.75,659910.9558140623,0.30635833333333334,0.6867833333333334,2.69725,0.7015833333333332,0.5463333333333333,0.0,2.21375,2.4281666666666664,3.1576666666666675,8.143833333333335,2.966416666666667,0.5416666666666666
0,2002.0,2.0431666666666666,588833.75,587902.6345501237,0.29510833333333336,0.6974666666666667,2.735,0.7448333333333333,0.6802499999999999,0.0,1.8224166666666666,2.199916666666667,2.8318333333333334,7.351500000000001,3.0560833333333335,0.3
0,2003.0,2.017583333333333,588001.8333333334,585659.1491594514,0.2971916666666667,0.6948833333333333,2.8222500000000004,0.7603333333333332,0.6613333333333333,0.0,1.8496666666666668,2.3215000000000003,2.9215,7.551416666666667,3.0999166666666667,0.5583333333333332
0,2004.0,2.0703333333333336,612584.0833333334,606551.6460960464,0.3065083333333333,0.6856333333333334,2.8394999999999997,0.76425,0.5653333333333332,8.333333333333333e-05,1.8073333333333332,2.201916666666667,2.8725000000000005,7.358333333333334,2.985666666666667,0.6833333333333332
0,2005.0,2.161833333333333,644026.8333333334,639253.3569432498,0.3289166666666667,0.6630333333333334,2.77,0.8532500000000001,0.5289999999999999,8.333333333333333e-05,1.8893333333333338,2.4983333333333335,2.8437500000000004,7.9526666666666666,2.8806666666666665,0.8000000000000002
0,2006.0,2.2975,684520.25,685885.299093633,0.33613333333333334,0.65495,2.707416666666667,0.7860833333333334,0.5046666666666666,0.003333333333333334,2.039333333333333,2.6320833333333336,2.797083333333333,7.998499999999997,3.3975833333333334,2.183333333333333
0,2007.0,2.400166666666667,714646.6666666666,723385.1562496318,0.3572583333333334,0.6203333333333334,2.86825,0.8725000000000002,0.46833333333333327,0.0015833333333333335,1.8222499999999997,2.4200000000000004,2.7280833333333327,7.768416666666668,2.548083333333333,0.9333333333333335
0,2008.0,2.5768333333333335,786436.8333333334,784181.6496990332,0.3993333333333333,0.58955,3.5065000000000004,0.9893333333333333,0.4788333333333333,0.002916666666666667,1.7307499999999998,2.6425833333333335,3.1174999999999997,8.802833333333334,2.6118333333333332,4.6
0,2009.0,2.742083333333333,833870.0,841497.4593162354,0.41263333333333335,0.5709916666666667,3.597416666666667,1.0456666666666667,0.6188333333333332,0.0038333333333333344,1.5386666666666666,2.55925,3.099,8.651666666666666,2.373666666666667,9.116666666666665
0,2010.0,2.632833333333333,811118.6666666666,814593.8008903182,0.4229083333333334,0.5606666666666666,3.4605833333333327,0.987,0.5779166666666665,0.0036666666666666675,1.5409166666666667,2.425416666666667,2.9944166666666665,8.332583333333334,2.280666666666667,8.041666666666666
0,2011.0,2.9830833333333335,930110.5,929805.3494431191,0.4324083333333333,0.5495249999999999,3.3836666666666666,0.9980833333333333,0.5974166666666666,0.0030000000000000005,1.4596666666666664,2.3794999999999997,2.85075,8.64925,2.3428333333333335,6.291666666666665
0,2012.0,3.717833333333333,1188720.5833333333,1167911.2742686674,0.44354166666666667,0.5349916666666666,3.4287499999999995,1.0541666666666665,0.6609166666666667,0.003583333333333333,1.4139166666666665,2.308916666666667,2.9014166666666665,8.721583333333333,2.2910833333333334,7.4750000000000005
0,2013.0,4.052666666666666,1279221.0,1282043.1841892207,0.45246666666666674,0.5234916666666667,3.3912500000000008,1.7208333333333334,0.8660833333333334,0.0036666666666666675,1.4134166666666668,2.4013333333333335,3.0262499999999997,8.782583333333333,2.2046666666666668,7.016666666666667
0,2014.0,3.4799166666666665,1113985.3333333333,1109397.8831000382,0.5083916666666667,0.46022499999999994,3.4919166666666666,0.9807500000000005,0.7498333333333335,0.004333333333333332,1.45875,2.3950833333333335,3.04975,8.838,2.333,7.558333333333334
0,2015.0,3.6435454545454546,1111692.3636363635,1169773.5221495407,0.542690909090909,0.42429090909090905,3.4800909090909085,0.7864545454545454,0.6751818181818183,0.005454545454545454,1.6096363636363635,2.4382727272727274,3.2923636363636364,8.835363636363638,2.474909090909091,9.200000000000001
